"gene","n_folds_selected","signature_size"
"SNORD15B",2,100
"SNORD3A",2,100
"SOX4",2,100
"SPDYA",2,100
"TTC39B",2,100
"VPS72",2,100
"WSB1",2,100
"ZNF100",2,100
"AACS",1,100
"AAMP",1,100
"ACAD11",1,100
"AMFR",1,100
"AOC3",1,100
"APMAP",1,100
"APOLD1",1,100
"AQP1",1,100
"ATP5F1E",1,100
"AURKAIP1",1,100
"BANF1",1,100
"BBOF1",1,100
"BCOR",1,100
"BECN1",1,100
"BLM",1,100
"BLOC1S4",1,100
"BLVRA",1,100
"BMS1",1,100
"C1QBP",1,100
"CALM3",1,100
"CATSPERE",1,100
"CCDC138",1,100
"CCDC144CP",1,100
"CCDC146",1,100
"CCDC84",1,100
"CCT2",1,100
"CCT7",1,100
"CDH23",1,100
"CEP72",1,100
"CIAO2B",1,100
"CNPY3",1,100
"COMMD8",1,100
"COQ6",1,100
"CSF3R",1,100
"CTNNBL1",1,100
"CXCL8",1,100
"DDRGK1",1,100
"DDX39A",1,100
"DDX41",1,100
"DLG2",1,100
"DPYSL4",1,100
"DTX2P1-UPK3BP1-PMS2P11",1,100
"ECHS1",1,100
"EEF1A1P22",1,100
"EGFL7",1,100
"ERGIC3",1,100
"ESF1",1,100
"FAM160A2",1,100
"FAM219A",1,100
"FAM222B",1,100
"FAM227B",1,100
"FBL",1,100
"FGL2",1,100
"FOS",1,100
"FRMD4B",1,100
"FSTL3",1,100
"FTSJ3",1,100
"GAD1",1,100
"GEM",1,100
"GPN3",1,100
"GVQW3",1,100
"H2BC17",1,100
"H2BC20P",1,100
"H2BC4",1,100
"HSD17B1",1,100
"HSPA2",1,100
"HSPE1P26",1,100
"IDH3B",1,100
"IGF2",1,100
"IGHV3-21",1,100
"IGLV1-51",1,100
"INE1",1,100
"ING4",1,100
"INHBB",1,100
"IRX6",1,100
"KARS1",1,100
"KIF5C",1,100
"LAMP3",1,100
"LINC02614",1,100
"LMLN",1,100
"LRP3",1,100
"LUC7L2",1,100
"LUCAT1",1,100
"MAGED2",1,100
"MALAT1",1,100
"MAPKAPK5-AS1",1,100
"MAZ",1,100
"MED12L",1,100
"MED15",1,100
"MED30",1,100
"MFSD4B",1,100
"MMUT",1,100
"MPZL2",1,100
"MTND1P23",1,100
"MUC1",1,100
"NCL",1,100
"NDUFB11",1,100
"NDUFB7",1,100
"NDUFB9",1,100
"NDUFC2",1,100
"NEB",1,100
"NFKBIZ",1,100
"NOSTRIN",1,100
"NOTCH4",1,100
"NPNT",1,100
"NPTXR",1,100
"NT5DC2",1,100
"NT5DC3",1,100
"OLFML1",1,100
"PBDC1",1,100
"PDIA6",1,100
"PHYKPL",1,100
"PIBF1",1,100
"PIMREG",1,100
"PKHD1",1,100
"POLE3",1,100
"POLR1C",1,100
"POLR2I",1,100
"PPM1G",1,100
"PTGES2",1,100
"RAC3",1,100
"RBM15B",1,100
"RHOA-IT1",1,100
"RN7SKP230",1,100
"RN7SKP80",1,100
"RN7SL128P",1,100
"RN7SL329P",1,100
"RN7SL517P",1,100
"RN7SL648P",1,100
"RNASEH2A",1,100
"RNU5A-1",1,100
"RNVU1-28",1,100
"RPA3",1,100
"RPN2",1,100
"RREB1",1,100
"RUVBL2",1,100
"SACS",1,100
"SCG2",1,100
"SEC23B",1,100
"SGPP1",1,100
"SLC25A11",1,100
"SLC6A1",1,100
"SNAPC3",1,100
"SNORA12",1,100
"SNORA13",1,100
"SNORA38",1,100
"SNORA65",1,100
"SNORA80D",1,100
"SNORD67",1,100
"SNRNP200",1,100
"SNRPB2",1,100
"SORCS2",1,100
"SPCS1",1,100
"SRPX2",1,100
"SRSF2",1,100
"SUPT7L",1,100
"SYTL2",1,100
"TBCB",1,100
"TDO2",1,100
"TFPT",1,100
"THAP11",1,100
"THAP12",1,100
"TK1",1,100
"TM9SF2",1,100
"TMEM223",1,100
"TP53",1,100
"TRAM1",1,100
"TREM1",1,100
"TRMT6",1,100
"TTLL3",1,100
"TUFM",1,100
"UBE2D1",1,100
"UBE2G1",1,100
"UQCRC1",1,100
"VPS16",1,100
"VSIG10",1,100
"ZNF253",1,100
"ZNF410",1,100
"ZNF431",1,100
"ZNF862",1,100
